text,label,category,source
Congratulations! You have been selected for internship at Internshala partner company. Pay Rs.1500 registration fee on Paytm 9876543210 to confirm your slot.,1,internship_fee,unknown_provenance
Pay Rs.999 joining fee to confirm your work from home internship. Send to PhonePe 8765432109.,1,internship_fee,unknown_provenance
internsha1a.com internship offer selected pay Rs.1500 registration fee,1,internship_fee,unknown_provenance
g00gle.com selected you for internship pay Rs.999 fee to confirm your slot immediately,1,internship_fee,unknown_provenance
You have WON Rs.25 lakh in KBC Lucky Draw! Pay Rs.1500 processing fee to claim prize.,1,lottery_prize,unknown_provenance
amazon-winner.xyz you won iPhone pay Rs.299 delivery charge to claim,1,lottery_prize,unknown_provenance
http://amazon-lucky-winner.xyz/claim you won iPhone pay Rs.299,1,lottery_prize,unknown_provenance
Share your OTP to claim KBC prize of Rs.25 lakh. Contact kbc.prize@gmail.com urgently.,1,otp_fraud,unknown_provenance
SBI account will be blocked. Verify KYC by sharing OTP sent to your number.,1,otp_fraud,unknown_provenance
gooogle.com free recharge enter OTP to claim Rs.199 cashback today only,1,otp_fraud,unknown_provenance
sbi-kyc-update.xyz urgent KYC required login and share OTP with executive,1,otp_fraud,unknown_provenance
http://sbi-kyc-verify.xyz/login urgent KYC update required enter OTP,1,otp_fraud,unknown_provenance
facebo0k.com account security alert share OTP to recover access,1,otp_fraud,unknown_provenance
NSP Scholarship of Rs.25000 approved. Pay Rs.500 processing fee to PhonePe 8765432109.,1,scholarship_fee,unknown_provenance
Your scholarship of Rs.40000 is pending release. Pay Rs.750 verification fee to activate NSP account today.,1,scholarship_fee,unknown_provenance
http://university-portal-login.xyz/auth pay admission fee now,1,bank_impersonation,unknown_provenance
university-portal-login.xyz complete admission formalities pay Rs.5000 fee,1,bank_impersonation,unknown_provenance
college-admission-portal.xyz your admission confirmed pay Rs.3000 processing fee,1,bank_impersonation,unknown_provenance
g0ogle.com job offer pay Rs.2000 training fee before joining date expires tonight,1,job_fee,unknown_provenance
google-jobs-india.xyz apply now pay Rs.1500 registration fee,1,job_fee,unknown_provenance
